Stanum,Lat,Lon,Rain
50136,52.58,122.31,0.0
50246,52.21,124.43,0.0
50247,52.02,123.34,0.0
50349,51.4,124.24,0.0
50353,51.44,126.38,0.0
50425,50.15,120.11,0.0
50434,50.29,121.41,0.0
50442,50.24,124.07,0.0
50468,50.15,127.28,0.0
50514,49.35,117.19,0.0
50527,49.15,119.42,0.0
50548,49.12,123.43,0.0
50557,49.09,125.14,0.4
50564,49.25,127.2,0.0
50603,48.41,116.49,0.0
50618,48.13,118.16,0.0
50639,48.0,122.44,0.0
50656,48.16,126.3,0.0
50658,48.05,125.47,0.0
50727,47.1,119.56,5.4
50739,47.18,123.15,0.0
50742,47.48,124.29,1.4000000000000001
50745,47.23,123.55,0.0
50756,47.27,126.52,0.0
50758,47.09,125.54,0.0
50774,47.42,128.5,0.0
50788,47.14,131.6,0.0
50834,46.36,121.13,0.1
50844,46.24,123.27,0.0
50853,46.37,126.58,0.0
50854,46.23,125.19,0.0
50862,46.59,127.59,0.0
50873,46.47,130.18,0.0
50877,46.18,129.35,0.0
50888,46.23,132.1,0.0
50915,45.31,116.58,0.0
50936,45.38,122.5,0.0
50945,45.3,124.14,0.0
50948,45.0,124.01,0.0
50949,45.05,124.52,0.0
50950,45.42,125.15,0.0
50953,45.56,126.34,0.0
50963,45.58,128.44,0.0
50968,45.13,127.58,0.0
50973,45.45,130.36,0.0
50978,45.18,130.55,0.0
50983,45.46,132.53,0.0
51053,48.03,86.24,0.0
51060,47.42,86.52,0.0
51068,47.07,87.29,0.0
51076,47.44,88.05,0.0
51087,47.01,89.3,0.0
51133,46.44,83.0,0.0
51156,46.49,85.45,0.0
51232,45.11,82.33,0.0
51238,44.54,82.04,0.0
51241,45.56,83.36,0.0
51243,45.37,84.51,0.0
51334,44.34,82.49,0.0
51367,44.1,86.51,0.0
51469,43.27,87.11,0.0
51470,43.53,88.07,0.0
51477,43.21,88.19,0.0
51526,42.14,88.13,0.0
51542,43.02,84.09,0.0
51567,42.03,86.36,0.0
51573,42.57,89.14,0.0
51628,41.07,80.23,0.0
51639,41.15,82.46,0.0
51656,41.44,85.49,0.0
51704,39.44,76.13,0.0
51705,39.43,75.15,0.0
51709,39.29,75.45,0.0
51720,40.3,79.03,0.0
51730,40.33,81.16,0.0
51747,39.0,83.4,0.0
51765,40.38,87.42,0.0
51810,38.55,77.38,0.0
51811,38.26,77.16,0.0
51818,37.37,78.17,0.0
51828,37.08,79.56,0.0
51839,37.04,82.34,0.0
51855,38.09,85.33,0.0
51931,36.51,81.39,0.0
52101,43.36,93.03,0.0
52112,43.45,94.59,0.0
52118,43.16,94.42,0.0
52203,42.49,93.31,0.0
52313,41.32,94.4,0.0
52323,41.48,97.02,0.0
52533,39.46,98.29,0.0
52546,39.22,99.5,0.0
52602,38.45,93.2,0.0
52652,39.05,100.17,0.0
52674,38.13,101.56,0.0
52679,37.53,102.52,0.0
52681,38.38,103.05,0.0
52707,36.48,93.41,0.0
52787,37.12,102.52,0.0
52797,37.11,104.03,0.0
52818,36.25,94.54,0.0
52825,36.26,96.26,0.0
52836,36.18,98.06,0.0
52856,36.16,100.37,0.0
52866,36.4,101.44,0.0
52868,36.01,101.22,0.0
52876,36.2,102.5,0.0
52884,36.21,103.57,0.0
52895,36.34,104.41,3.4000000000000004
52908,35.13,93.05,0.0
52943,35.35,99.6,0.0
52955,35.35,100.44,0.0
52974,35.33,102.02,0.0
52983,35.52,104.09,0.0
52984,35.35,103.11,0.0
52986,35.22,103.52,0.30000000000000004
52996,35.23,105.0,0.0
53068,43.38,111.56,0.0
53083,44.37,114.09,0.0
53149,42.32,110.08,0.0
53192,44.01,115.0,0.0
53231,41.24,106.24,0.0
53336,41.34,108.31,0.0
53352,41.42,110.26,0.0
53362,41.33,111.39,0.0
53391,41.54,114.0,1.2000000000000002
53399,41.09,114.42,4.9
53446,40.32,109.53,0.0
53463,40.51,111.34,0.30000000000000004
53478,40.0,112.28,0.0
53480,41.02,113.04,0.0
53487,40.05,113.25,0.1
53490,40.26,114.04,2.0
53513,40.44,107.22,0.0
53519,39.12,106.46,0.0
53529,39.05,107.58,0.0
53543,39.49,110.01,0.4
53564,39.22,111.13,0.30000000000000004
53578,39.22,112.26,0.0
53588,38.56,113.31,0.0
53593,39.5,114.34,10.4
53594,39.27,114.13,9.4
53612,37.59,106.11,0.0
53614,38.28,106.12,0.0
53615,38.48,106.42,0.0
53646,38.16,109.47,2.1
53651,38.49,110.28,0.4
53663,38.56,111.49,0.5
53664,38.28,111.08,0.1
53673,38.44,112.43,0.8
53687,37.47,113.38,0.0
53704,37.32,105.11,0.0
53705,37.29,105.41,0.0
53723,37.48,107.15,3.0
53725,37.35,107.35,1.8
53735,37.37,108.48,1.6
53738,36.55,108.1,2.2
53740,37.56,109.14,3.2
53754,37.3,110.13,0.2
53764,37.3,111.07,1.1
53772,37.37,112.35,3.2
53775,37.25,112.36,10.600000000000001
53787,37.04,112.59,0.30000000000000004
53798,37.11,114.22,0.0
53806,36.34,105.39,0.6000000000000001
53810,36.58,105.54,0.5
53817,36.02,106.14,4.0
53821,36.34,107.18,2.7
53853,36.42,110.57,3.4000000000000004
53854,36.35,110.04,2.1
53859,36.05,110.4,2.7
53863,37.04,111.57,3.8000000000000003
53868,36.04,111.3,0.4
53877,36.08,112.15,0.7000000000000001
53882,36.04,113.02,0.0
53884,36.3,113.02,1.2000000000000002
53898,36.03,114.08,0.0
53903,35.58,105.43,5.2
53910,35.4,106.12,0.0
53915,35.32,106.4,3.7
53923,35.44,107.38,2.4000000000000004
53929,35.12,107.48,2.0
53942,35.47,109.22,3.9000000000000004
53948,34.53,109.38,1.4000000000000001
53959,35.07,111.04,2.7
53963,35.39,111.22,3.3000000000000003
53968,35.17,111.4,5.5
53975,35.29,112.25,0.9
53986,35.19,113.55,0.0
54012,44.34,117.38,0.0
54026,44.34,120.54,0.1
54027,43.57,119.19,0.8
54041,44.48,123.04,0.0
54049,44.15,123.58,0.0
54063,44.58,126.0,0.0
54064,44.23,125.09,0.0
54094,44.3,129.4,0.0
54096,44.24,131.11,0.0
54102,43.57,116.07,0.0
54115,43.38,118.02,1.0
54134,43.36,121.17,0.0
54135,43.36,122.16,0.0
54142,43.31,123.27,0.0
54157,43.07,124.23,0.0
54161,43.54,125.13,0.0
54165,43.33,125.38,0.0
54171,43.42,126.31,0.0
54181,43.42,127.2,0.0
54186,43.22,128.12,0.0
54195,43.18,129.47,0.0
54208,42.12,116.28,4.6000000000000005
54213,42.56,119.01,0.4
54218,42.18,118.5,0.0
54226,42.2,120.42,0.0
54236,42.23,122.33,0.0
54243,42.47,124.06,0.0
54254,42.32,124.03,0.0
54259,42.04,124.52,0.0
54260,42.55,125.05,0.0
54263,42.58,126.05,0.0
54266,42.32,125.38,0.0
54273,42.59,126.45,0.0
54276,42.24,126.48,0.0
54284,42.09,127.3,0.0
54285,42.24,128.07,0.0
54286,42.32,129.0,0.0
54292,42.52,129.3,0.0
54308,41.12,116.38,1.8
54311,41.58,117.46,0.0
54324,41.33,120.26,0.0
54326,41.25,119.37,0.0
54333,41.58,122.51,0.0
54339,41.05,122.6,0.0
54342,41.44,123.31,0.0
54346,41.18,123.47,0.0
54351,41.55,124.04,0.0
54353,41.43,125.02,0.0
54363,41.41,125.54,0.0
54374,41.48,126.53,0.0
54377,41.09,126.13,0.0
54386,41.25,128.11,0.0
54401,40.46,114.55,5.0
