Stanum,Lat,Lon,Rain
50136,5258,3.56,44.39
50246,5221,6.26,216.84
50247,5202,6.13,130.56
50349,5140,4.02,52.18
50353,5144,4.2,65.32
50425,5015,1.65,23.47
50434,5029,1.96,10.37
50442,5024,2.74,26.27
50468,5015,3.9,64.09
50514,4935,1.01,16.41
50527,4915,0.97,3.54
50548,4912,1.35,7.33
50557,4909,2.61,35.35
50564,4925,2.82,114.62
50603,4841,0.7,2.15
50618,4813,0.91,5.48
50639,4800,1.43,10.04
50656,4816,1.73,37.4
50658,4805,2.38,31.4
50727,4710,3.37,28.88
50739,4718,2.54,32.69
50742,4748,1.35,7.7
50745,4723,2.29,23.29
50756,4727,3.99,79.58
50758,4709,3.46,94.13
50774,4742,6.52,175.4
50788,4714,4.01,84.07
50834,4636,2.15,18.84
50844,4624,2.9,70.66
50853,4637,5.91,234.68
50854,4623,4.41,134.47
50862,4659,4.11,96.79
50873,4647,4.51,153.95
50877,4618,4.52,137.45
50888,4623,7.61,161.42
50915,4531,2.68,47.95
50936,4538,1.75,24.42
50945,4530,7.52,614.62
50948,4500,5.16,153.86
50949,4505,3.68,69.75
50950,4542,2.76,76.58
50953,4556,5.97,167.34
50963,4558,7.55,412.26
50968,4513,4.17,73.63
50973,4545,3.42,47.12
50978,4518,3.26,55.67
50983,4546,3.38,43.72
51053,4803,0.01,0.0
51060,4742,0.16,0.28
51068,4707,0.06,0.07
51076,4744,0.03,0.01
51087,4701,0.2,0.94
51133,4644,0.09,0.18
51156,4649,0.41,1.1
51232,4511,0.04,0.02
51238,4454,0.54,3.14
51241,4556,0.42,0.96
51243,4537,0.37,1.15
51334,4434,0.09,0.17
51367,4410,0.14,0.21
51469,4327,0.62,0.92
51470,4353,1.7,15.52
51477,4321,0.39,1.41
51526,4214,0.1,0.15
51542,4302,3.12,47.1
51567,4203,0.6,5.18
51573,4257,0.13,0.18
51628,4107,1.09,9.71
51639,4115,0.11,0.1
51656,4144,0.82,4.35
51704,3944,1.9,19.33
51705,3943,2.58,29.48
51709,3929,1.01,5.15
51720,4030,2.25,15.46
51730,4033,1.09,15.41
51747,3900,0.19,0.61
51765,4038,0.01,0.0
51810,3855,1.22,8.1
51811,3826,1.77,29.82
51818,3737,0.11,0.11
51828,3708,0.04,0.03
51839,3704,0.02,0.0
51855,3809,0.01,0.0
51931,3651,0.3,1.22
52101,4336,0.51,3.17
52112,4345,0.0,0.0
52118,4316,0.16,0.27
52203,4249,0.03,0.01
52313,4132,0.0,0.0
52323,4148,0.01,0.0
52533,3946,0.51,2.3
52546,3922,0.64,2.51
52602,3845,0.05,0.07
52652,3905,1.04,4.52
52674,3813,1.81,9.79
52679,3753,1.79,20.22
52681,3838,2.58,62.05
52707,3648,0.24,1.36
52787,3712,4.48,53.0
52797,3711,1.56,17.21
52818,3625,0.26,1.01
52825,3626,0.22,0.48
52836,3618,0.61,3.08
52856,3616,2.0,30.08
52866,3640,8.07,183.17
52868,3601,2.65,44.04
52876,3620,3.85,42.06
52884,3621,1.58,15.83
52895,3634,1.44,17.04
52908,3513,4.15,27.43
52943,3535,3.53,30.44
52955,3535,2.13,10.39
52974,3533,4.59,126.78
52983,3552,8.66,665.09
52984,3535,6.31,178.67
52986,3522,3.8,98.09
52996,3523,2.49,41.42
53068,4338,1.74,29.41
53083,4437,1.9,51.56
53149,4232,0.63,3.97
53192,4401,2.38,54.86
53231,4124,1.08,10.49
53336,4134,2.38,50.39
53352,4142,0.81,4.22
53362,4133,1.89,29.48
53391,4154,0.73,3.35
53399,4109,2.91,61.13
53446,4032,2.74,60.22
53463,4051,3.77,65.33
53478,4000,10.31,423.69
53480,4102,2.84,32.44
53487,4005,8.22,306.12
53490,4026,7.75,238.01
53513,4044,1.5,14.75
53519,3912,2.77,45.15
53529,3905,5.76,179.28
53543,3949,8.18,263.16
53564,3922,8.05,263.47
53578,3922,8.82,251.96
53588,3856,10.17,254.46
53593,3950,4.22,96.53
53594,3927,6.97,288.86
53612,3759,0.69,2.37
53614,3828,1.94,26.74
53615,3848,1.92,15.3
53646,3816,4.93,118.6
53651,3849,3.77,63.69
53663,3856,11.98,726.66
53664,3828,9.85,349.54
53673,3844,8.16,306.89
53687,3747,9.37,264.46
53704,3732,0.74,3.67
53705,3729,0.8,4.58
53723,3748,3.82,104.81
53725,3735,1.78,17.65
53735,3737,5.29,96.72
53738,3655,4.18,65.43
53740,3756,3.04,46.47
53754,3730,8.15,248.43
53764,3730,7.11,181.93
53772,3737,2.53,33.55
53775,3725,3.74,68.72
53787,3704,4.85,132.4
53798,3711,4.55,168.47
53806,3634,4.95,337.5
53810,3658,1.27,10.77
53817,3602,2.89,49.28
53821,3634,3.95,78.61
53853,3642,2.82,31.71
53854,3635,3.88,74.09
53859,3605,2.07,17.85
53863,3704,2.78,41.0
53868,3604,1.63,17.08
53877,3608,3.23,52.86
53882,3604,2.43,29.79
53884,3630,3.57,94.15
53898,3603,2.37,22.73
53903,3558,3.12,50.86
53910,3540,3.55,44.42
53915,3532,2.72,33.36
53923,3544,2.69,39.59
53929,3512,3.19,52.96
53942,3547,2.57,54.43
53948,3453,2.77,62.34
53959,3507,3.13,63.98
53963,3539,2.7,51.35
53968,3517,3.5,90.12
53975,3529,2.19,54.69
53986,3519,0.87,6.75
54012,4434,1.73,15.41
54026,4434,2.68,28.85
54027,4357,2.5,48.21
54041,4448,2.84,63.73
54049,4415,6.23,303.2
54063,4458,3.51,64.59
54064,4423,4.98,163.4
54094,4430,2.12,21.07
54096,4424,3.55,45.3
54102,4357,2.65,150.18
54115,4338,3.43,146.99
54134,4336,2.13,17.69
54135,4336,2.17,17.15
54142,4331,3.75,75.68
54157,4307,3.62,52.7
54161,4354,3.59,61.13
54165,4333,4.25,61.75
54171,4342,4.33,120.54
54181,4342,4.4,54.81
54186,4322,3.88,39.87
54195,4318,3.72,59.59
54208,4212,1.42,9.21
54213,4256,2.19,63.03
54218,4218,0.53,1.32
54226,4220,1.25,13.39
54236,4223,2.5,24.14
54243,4247,3.9,47.89
54254,4232,4.19,76.13
54259,4204,7.46,145.91
54260,4255,5.51,92.59
54263,4258,5.15,107.05
54266,4232,4.48,82.18
54273,4259,5.15,162.04
54276,4224,6.03,125.91
54284,4209,6.93,278.07
54285,4224,7.75,199.5
54286,4232,4.4,70.69
54292,4252,3.3,41.1
54308,4112,2.27,25.27
54311,4158,0.63,1.94
54324,4133,2.65,41.01
54326,4125,1.57,11.23
54333,4158,3.59,64.25
54339,4105,3.03,32.05
54342,4144,3.94,86.8
54346,4118,3.01,40.63
54351,4155,3.68,60.97
54353,4143,4.23,75.89
54363,4141,3.72,65.94
54374,4148,6.18,143.47
54377,4109,5.96,284.02
54386,4125,5.96,357.83
54401,4046,3.28,50.21
54405,4025,3.61,65.31
54406,4027,4.24,98.94
54416,4023,3.6,84.99
54423,4058,2.73,54.21
54429,4012,7.72,479.93
54436,4025,5.2,165.53
54449,3951,10.33,702.4
54452,4048,3.76,103.63
54454,4020,4.14,110.13
54455,4037,2.97,57.89
54470,4101,4.65,90.34
54471,4040,3.81,59.65
54476,4011,4.47,72.64
54486,4020,5.44,111.73
54493,4043,6.65,203.1
54497,4002,7.3,399.26
54511,3948,3.51,61.5
54518,3910,2.7,41.98
54525,3944,6.05,354.73
54527,3905,6.52,171.01
54534,3939,9.11,480.06
54539,3926,4.37,113.71
54563,3938,14.11,1135.44
54579,3916,8.85,517.81
54584,3943,16.05,1231.58
54602,3844,6.42,275.25
54606,3813,1.43,16.43
54618,3805,7.81,877.97
54623,3903,6.59,515.99
54624,3824,8.39,752.84
54662,3854,6.58,153.11
54705,3722,6.37,240.81
54715,3719,3.49,65.59
54725,3730,5.99,180.34
54727,3639,5.66,194.46
54744,3735,4.96,111.64
54751,3756,5.69,203.41
54753,3738,7.14,280.83
54764,3729,4.91,112.03
54776,3724,7.47,327.71
54808,3613,2.11,20.94
54823,3636,5.66,148.28
54826,3615,7.87,326.12
54836,3611,7.21,249.25
54842,3647,6.27,243.27
54843,3645,7.56,276.5
54857,3604,9.76,313.56
54863,3647,9.09,427.0
54909,3505,1.08,9.64
54916,3534,2.7,32.4
54929,3516,3.97,75.33
54936,3534,3.55,54.86
54945,3528,2.26,22.21
55228,3230,1.03,5.82
55248,3209,2.35,34.7
55299,3129,2.51,28.64
55437,3017,2.12,22.8
55493,3029,1.86,14.86
55569,2905,0.71,6.68
55598,2916,1.59,18.5
55655,2811,1.5,4.79
55664,2838,0.48,0.88
55680,2855,0.77,3.74
56004,3413,2.35,16.9
56018,3253,2.81,19.8
56021,3408,2.64,19.48
56029,3300,2.81,34.26
56033,3455,2.28,22.99
56034,3348,2.88,22.9
56038,3259,2.24,17.12
56043,3429,3.85,30.46
56046,3345,2.94,13.7
56065,3444,3.31,31.64
56067,3326,1.97,7.99
56074,3400,5.18,91.22
56079,3335,2.92,27.3
56080,3459,2.17,18.93
56093,3426,1.83,14.14
56096,3324,0.96,5.05
56116,3125,1.47,7.71
56125,3212,1.84,9.88
56137,3109,0.87,1.76
56144,3148,2.76,16.84
56146,3137,1.26,5.99
56151,3256,5.19,74.22
56152,3217,2.33,21.97
56167,3058,2.57,51.38
56172,3154,4.59,65.96
56173,3248,3.4,30.59
56178,3060,1.4,25.04
56182,3240,1.99,13.71
56187,3045,8.55,276.1
56188,3060,4.43,60.37
56223,3046,1.46,8.23
56227,2952,0.96,4.41
56247,3000,2.04,24.82
56251,3056,1.54,12.95
56257,3000,1.76,13.49
56312,2940,1.15,8.36
56331,2940,1.63,7.57
56357,2903,1.69,10.46
56374,3003,1.62,16.93
56385,2931,6.24,81.34
56386,2934,3.95,202.99
56434,2840,1.76,6.95
56444,2829,1.09,2.97
56459,2756,2.96,23.48
56462,2900,3.44,77.69
56475,2839,4.95,242.19
56479,2800,5.42,130.21
56485,2816,2.0,22.45
56492,2846,2.72,61.75
56533,2745,3.09,25.9
56543,2751,2.07,10.56
56548,2711,3.56,47.68
56565,2726,2.89,50.01
56571,2754,2.39,49.27
56586,2721,2.69,40.32
56643,2552,3.57,55.04
56651,2651,3.58,28.45
56664,2638,2.89,22.63
56666,2635,3.14,30.32
56671,2639,5.19,83.31
56684,2624,1.8,26.2
56691,2652,1.51,10.93
56739,2459,9.87,145.8
56748,2507,3.7,59.06
56751,2542,4.61,53.18
56778,2500,8.45,137.51
56792,2547,2.52,22.35
56793,2545,4.94,142.44
56856,2426,5.8,82.68
56875,2420,4.03,74.52
56886,2432,3.19,69.84
56946,2332,6.68,116.32
56951,2353,8.04,134.33
56954,2234,6.04,72.13
56964,2247,11.01,257.21
56966,2338,3.07,40.38
56969,2128,10.35,223.07
56977,2236,10.07,196.03
56991,2336,5.45,62.2
57003,3454,2.24,32.33
57014,3434,2.44,40.64
57025,3431,3.45,72.77
57028,3404,4.09,69.91
57030,3442,3.08,77.58
57034,3419,2.45,43.04
57037,3456,2.87,55.26
57046,3429,2.92,29.07
57048,3424,2.01,31.82
57051,3443,2.47,32.19
57052,3453,2.4,39.83
57071,3448,2.7,28.31
57083,3442,2.26,38.45
57089,3404,2.5,30.41
57091,3448,0.82,5.77
57106,3319,6.26,248.2
57124,3337,4.34,111.9
57127,3304,3.79,105.39
57131,3426,2.16,43.76
57134,3331,4.17,100.9
57143,3351,3.51,63.19
57144,3326,3.28,48.89
57154,3332,3.71,37.35
57156,3319,4.27,132.45
57178,3306,3.21,131.17
57181,3352,3.38,46.22
57193,3347,3.02,63.34
57206,3225,4.14,109.02
57211,3250,8.53,324.89
57232,3303,4.79,209.67
57237,3204,5.08,335.12
57238,3231,8.61,1065.46
57245,3242,2.83,86.4
57251,3300,1.42,14.87
57256,3239,1.24,18.94
57259,3202,0.41,1.5
57265,3226,0.66,4.99
57278,3200,2.6,50.85
57279,3208,2.4,63.93
57285,3221,5.5,276.48
57290,3256,1.44,26.23
57297,3208,0.95,7.84
57306,3135,3.23,161.82
57313,3153,5.22,717.07
57328,3112,7.68,1083.96
57343,3154,4.93,232.54
